Name,"Code of max voltage, ADC","Code of max voltage, DAC","Max voltage, V","Min voltage, V","Voltage step, V","Current step,  mcA",Polarity,"Sensor resistance, kohm","Feedback resistanse, Mohm",Current min,Current max,Current units
HV2000P,4000,64000,2000,10,1,1,P,5,100,5,800,micro
HV2000N,4000,64000,2000,10,1,1,N,5,100,5,800,micro
HV6000P,3720,59519,6000,20,1,1,P,10,100,10,150,micro
HV6000N,3720,59519,6000,20,1,1,N,10,100,10,150,micro
HT2000P,,,,,,,,,,,,
HT2000N,,,,,,,,,,,,
HT4000P,,,,,,,,,,,,
HT4000N,,,,,,,,,,,,
HT6000P,,59519,6000,20,1,,P,2,100,10,,micro
HT6000N,,59519,6000,20,1,,N,2,100,10,,micro
HT-15-2-P,,,,,,,,,,,,
HT-15-2-N,,,,,,,,,,,,
HT-15-6-P,,,,,,,,,,,,
HT-15-6-N,,,,,,,,,,,,
HT-15-10-P,,,,,,,,,,,,
HT-15-10-N,,,,,,,,,,,,
HT-15-20-P,,,,,,,,,,,,
HT-15-20-N,,,,,,,,,,,,
HT-15-30-P,,,,,,,,,,,,
HT-15-30-N,,,,,,,,,,,,
HT-6-6-P,,,,,,,,,,,,
HT-6-6-N,,,,,,,,,,,,
HT-6-10-P,,,,,,,,,,,,
HT-6-10-N,,,,,,,,,,,,
HT-6-20-P,,,,,,,,,,,,
HT-6-20-N,,,,,,,,,,,,
HT-60-2-P,,,,,,,,,,,,
HT-60-2-N,,,,,,,,,,,,
HT-60-6-P,,,,,,,,,,,,
HT-60-6-N,,,,,,,,,,,,
HT-60-6-P,,,,,,,,,,,,
HT-60-6-N,,,,,,,,,,,,
HT-60-20-P,,,,,,,,,,,,
HT-60-20-N,,,,,,,,,,,,
HT-60-30-P,4000,64000,30000,100,10,10,P,2,5000,10,2000,micro
HT-60-30-N,4000,64000,30000,100,10,10,N,2,5000,10,2000,micro
HR2000P,,,,,,,,,,,,
HR2000N,,,,,,,,,,,,
HR6000P,,,,,,,,,,,,
HR6000N,,,,,,,,,,,,